reviewer_name,review_time,review,hotel_name
Kashif Afzal,a week ago on,I had an extremely bad experience recently. Their banquet staff really need grooming. I was suffering from high blood pressure and my heart beat crossed 155. I came out from conference room and tried to rest on sofa and put my bear feet at …,Faletti hotel lahore
Mirza A,a month ago on,"Stayed here for 7 nights, with my wife, and we thoroughly enjoyed the history of this place and the hotel experience. The staff were all very helpful and accommodating, even though I hate the “tipping” mentality that is prevalent in …",Faletti hotel lahore
haris qureshi,4 weeks ago on,I have attended a function of FPCCI here & the service was good but the main thing which is really appreciable is the drinks & water you served are Pakistani. I strongly recommend this hotel to my sector of business. Keep it up.,Faletti hotel lahore
Muhammad Javed Aslam,3 weeks ago on,"Faletti's Hotel Lahore is a gem in the heart of the city, offering a perfect blend of historical charm and modern luxury. The staff are exceptionally courteous, the rooms are spacious and well-appointed, and the food is exquisite. The …",Faletti hotel lahore
Umair Amir,a week ago on,"The rooms are great, the hi-tea buffet menu was lack lister with the only good thing being the chicken wings. The location isn't too bad either.",Faletti hotel lahore
Anjum M,5 months ago on,Flatties hotel is a iconic hotel in the beautiful city of Lahore Pakistan. I am a frequent visitor over there with my family. I  also have the chance of staying in one of the prestigious rooms in the hotel. This hotel is of a colonial era …,Faletti hotel lahore
Wasim Lodhi,3 months ago on,"A wonderful place to stay in Lahore. Beautiful old building, excellent staff. Starting from Pick up from the airport, early check in, personal attention to make sure our stay is comfortable , departure everything made so smooth by the …",Faletti hotel lahore
Khalid Omar,a month ago on,Faletis is one of Lahore's oldest hotels. It used to be a historic place and has housed Pakistan Tourism Development Corporation ( PTDC)Office and terminal for India- bound buses.It's a business place now with 4 Events halls constructed at …,Faletti hotel lahore
Muhammad Faizan,3 months ago on,I recently had the pleasure of attending a conference there. It is a beautiful hotel and is decorated wonderfully. The central chandelier in the lobby is just out of this world. …,Faletti hotel lahore
Dr Mirza Ahmad,3 weeks ago on,"Excellent location , rooms, garden, food and service. Lots of history from 1880! My first choice hotel for Lahore.",Faletti hotel lahore
salman samar,3 months ago on,"Stayed at this hotel in early December ‘23. Room was very sub-standard; dirty, smoky, leaking faucets in rest room. Staff were very lazy and only interested in tips all the time.  Spoke and complained their GM and he sent a plate of fruits …",Faletti hotel lahore
KN Corporation,3 months ago on,Last week some of my guests came from karachi. I opted them to stay at fatties hotel lahore. The thing inspired me alot was that it's location was very ideal. 5 mins away from railway station. 20 min away from airport and 15 mins away from …,Faletti hotel lahore
Kashif Riaz,2 months ago on,Attended a Nikkah event (Small gathering) in one of their halls (Open air garden). …,Faletti hotel lahore
Zohaib Imran Sheikh,a month ago on,"It's weird and disrespectful. I must request AGHS not to hold AJCON conference at falettis any more. They back basic ethical grooming while dealing with lawyers. Yesterday, many seniors were insulted before lunch time. They treated the senior advocates like their slaves, it's pitty shameful disrespectful.",Faletti hotel lahore
Alhamdulillah,2 months ago on,"The location and ambiance is good

but the quality of food is not good. …",Faletti hotel lahore
HuyenTrang Nguyen,a month ago on,"We came here for a quick lunch during Ramadan time, but was so impressed by the quality of food and services. Price is also really reasonable!",Faletti hotel lahore
Adeal M B,5 months ago on,Happened to attend a wedding  and the food was pathetic. Worst desert I have ever eaten in any wedding. Chicken Korma and Biryani was below average. Management should seriously look into it. I have been to falettis numerous times and it was not that bad at all but unfortunately the food quality has deteriorated.,Faletti hotel lahore
Aslam Javed,5 months ago on,An old and trusted name in the hotel industry in Pakistan with the honour that some great personalities stayed over the years. A memorable place to dine and to hold functions. …,Faletti hotel lahore
Athar Khalid,2 months ago on,Not a very big fan of their food but the ambiance and atmosphere is pretty overwhelming and staff behaviour is very pleasant towards guests !!,Faletti hotel lahore
agha 8484,a month ago on,Attended dinner with friends. Limited dishes option but quality of food is good. We enjoyed,Faletti hotel lahore
Abdul S,6 months ago on,"Stayed for the nights of November 23, 24 and 25, 2023.||I was told that this is a Heritage Hotel which is renovated in 2013.||Hotel has impressive lobby and hallway. Restaurant is adjacent to the lobby and serves complementary …",Faletti hotel lahore
Tayyab Sultan,4 months ago on,"The service was poor, and the food was extremely unsatisfactory. The marriage ceremony of my sister's son and brother's daughter took place at Flatti's Golden Pearl Hall on the last night of December.  They charged a hefty amount for a …",Faletti hotel lahore
salman aizad,5 months ago on,"It is since 1888, renovated again few years back in the same old style. Cakes,pastries,backery items etc are very good. But traditional sweet dishes surprisingly not as good as continentals. Access to hotel becomes challenging during provincial assembly session or procession in the area around it.",Faletti hotel lahore
Hamid Minhas,6 months ago on,"A very historic hotel that has undergone renovations.  Located very close to the Punjab Parliament house, this makes the location very central. ",Faletti hotel lahore
HamXa Rajpoot,2 months ago on,One of the best for a reason you should visit as well service was good and rooms and locations was best as well. Highly recommended and I Enjoyed a lot,Faletti hotel lahore
Atif K,2 months ago on,Hi I'm Atif khan . I attended a family event in this hotel|I am happy to share with you that I enjoyed this place much.|it is a really wonderful place for family events.|very polite staff and clean environment.|It's so amazing such a great and beautiful place ❤️🤩 …,Faletti hotel lahore
Zafar Hussain,4 months ago on,"food served in crystsl hall during the wedding function was not up to marks,  tasteless soup, mutton polugh was with very little amount of mutton while rice of poor quality, sweet dish was substandard  ..... all those who intend to arrange their wedding or other functions in this hotel must ensure for the better quality of the food.",Faletti hotel lahore
Fouzia Sultana,2 weeks ago on,For hi  tea  there were small plates that gave a strange impression .When people were there for eating and serving plates were so small.please see this matter and change the utensils and specifically plates 🍽️. …,Faletti hotel lahore
Mehwish Walter John,5 months ago on,"We booked 3 different halls for our chachu wedding. The cutlery they provided was unbelievable, had so many scratches n it was not same set, all of them had different design, even the glass they provided was so so so normal like we r dinning in a very low cost banquet.",Faletti hotel lahore
hazrat mohammad,2 months ago on,Its very nice place for loving tour best service foods and excellent rooms i love this hotel for family and others tours stay there,Faletti hotel lahore
Jaz Chohhan,3 months ago on,"Visited Pakistan with my family on a yatra and decided to base ourselves in Lahore. Did some research and Faletti's had positive reviews so I decided to book it. So happy I did. Fantastic hotel. The rooms were big, clean and fully equipped …",Faletti hotel lahore
Haji Imran,4 months ago on,"Special was Cafe de Brando Restaurant.
Amazing Food and the best Service given by The Restaurant Manager Mr.Adnan and other service Staff was also very courteous.I will give Five Star because it is …",Faletti hotel lahore
Tannaza Sadaf,a month ago on,"I checked in at 7pm. There was no drinking water in my room. I called and asked for water, they could not provided water untill i made four calls and waited for 2 hours. Very poor service.",Faletti hotel lahore
Bashir Saddiq,6 months ago on,"Best placed we stayed In on a recent trip to Pakistan. Lovely period decor, lots of history and great service. Zubair was especially great and a credit to the team there. Cafe de Brando within the restaurant had great food too. Would definitely recommend",Faletti hotel lahore
Ally A,6 months ago on,"During my not-so-great stay at Faletti's, I was rudely woken up one morning by loud drums and dhols. I was able to go back to sleep afterwards, but a little while later, an even louder and longer drumming session woke me up again. I called …",Faletti hotel lahore
Barrister Haaris Ramzan,4 months ago on,Extremely ill trained staff in the dinning facilities. They lack basic manners. Plus the buffets are not replanished. The F&B management is least bothered! Very average!,Faletti hotel lahore
Abbas Tirmizey,3 months ago on,"It's a historic place 144 years old Hotel at Lahore. It's a grand property with a lot of parking space, huge halls available for seminars, conferences and events",Faletti hotel lahore
Rafael González García de Cosío,5 months ago on,"Anybody studying tourism or hospitality around the World should come to Faletti's hotel and see how the general manager, Zubair, works. He is constantly observing that nothing is missing and that his customers are 100% satisfied. Richard, …",Faletti hotel lahore
Mohammad Tahir,2 months ago on,Excellent place for Wedding Ceremonies and get together short activities.... Food is not so Good,Faletti hotel lahore
ahsan ali,3 months ago on,"**Review: Faletti's Hotel - Exceptional Event Venue**

Faletti's Hotel, located in Lahore, Pakistan, is the epitome of elegance and …",Faletti hotel lahore
amir ali,4 months ago on,Nice and clean environment. I love the taste and quality of food. Very good staff,Faletti hotel lahore
Muhammad Aqeel Anwar Butt,a month ago on,One of the oldest and the top one in the Lahore. Still maintained it credibility. Amazing. Hats off.,Faletti hotel lahore
yasir saeed,4 months ago on,One of the best place to visit... Food is always average...not extraordinary... But overall things are great 👍 …,Faletti hotel lahore
Amanullah Chachar,a month ago on,It was good place and staff was friendly. There was quality of management.,Faletti hotel lahore
Muhammad Farooq Saeed,2 weeks ago on,"It's always pleasant and enjoyable to visit this place..
They have largest venue in Lahore to serve +1500 guests at a time.
Nicely decorated and well maintained halls and rooms to meet all your stay and …",Faletti hotel lahore
SYED RAFEH HASSAN SHAH,5 months ago on,"I have attneded many functions at this hotel  which is  situated at the centre of the city,food is very delecious and the service provided was fantastic.parking is specious and is guided by the staff to their guests.",Faletti hotel lahore
Shameer Bin Aamir,2 weeks ago on,"Location is a bit in north Lahore, it was very well maintained.",Faletti hotel lahore
Zu One,2 months ago on,"Best food.
Great taste.
Good service.
Bufet is great.",Faletti hotel lahore
Minahil Fatima,3 months ago on,"Great experience, they should improve their sound proofing systems when a bigger hall is divided and being shared. The food is okay",Faletti hotel lahore
Silver,11 months ago on,"Located in the heart of city, it is one of the oldest hotels in the area and unlike other hotels it's rooms are not stacked one over another with no space to breath. It is spread over a vast area and gives a feeling of vastness. The rooms …",Faletti hotel lahore
Israr Alvi,a week ago on,Very old name in the field of hotels in Pakistan need to upgrade their standards décor and service,Faletti hotel lahore
Farhan ahmad Qadeer,4 months ago on,"A little better then Average hotel in Lahore
Food here is quite good
Staff is polite",Faletti hotel lahore
Talha Quddoos,a month ago on,"Overall vibe was fine, but the ceiling was kinda old. Didn't appreciate it much.",Faletti hotel lahore
tahir rasul,5 months ago on,"The hall,s temperature was not maintained.  After the 6th times  demand, water bottle was provided. Mutton was under cooked.",Faletti hotel lahore
Al Quran,a month ago on,The food was very tasty and delicious served with the professional person,Faletti hotel lahore
Masood Akhtar,a week ago on,Very well managed hotel and excellent services,Faletti hotel lahore
shazib Khalil,a month ago on,Got there for an event food was good. Keep it up.,Faletti hotel lahore
Muhammad Umair Asim,a week ago on,overall its good but ok place,Faletti hotel lahore
Bilal Haider,2 months ago on,"The food was so bad. Didn't like it.  (Oonchi dukan, Pheeka pkwan)",Faletti hotel lahore
Muhammad Imran Ali,2 months ago on,We had an aftaar party there but their service was very poor food was coming very late and tikka was smelly,Faletti hotel lahore
Mohammad Ahmed Khan,5 months ago on,The food was not good at the Marriage hall catering meat was not full done bit hard to eat plus bones were in the serving trays and no salad served bad experienced,Faletti hotel lahore
Shoaib Rasheed,4 months ago on,Not very good. Average experience as any other hotel can provide. Nothing extra ordinary.,Faletti hotel lahore
Farhaj Ahsan,6 months ago on,"The location and ambiance is good but the quality of food is not good. If someone is interested in enjoying good food, then this definitely is not the place to look",Faletti hotel lahore
Naveed Iqbal,5 months ago on,"A very historic hotel that has undergone renovations.  Located very close to the Punjab Parliament house, this makes the location very central.",Faletti hotel lahore
Trust INC,4 months ago on,"Good service , great dining experience.  Enjoyed and will stay there",Faletti hotel lahore
Shereen Masoud Husain,6 months ago on,"the history of the hotel goes back almost 100 years Started by an Italian. this is the hotel where Justice Cornelius lived till he passed away, Quaid e Azam stayed her, Ava Gardner and James Steward were also guests here during the filming of Bhawani Junction . Restored to maintain its colonial look . worth a visit",Faletti hotel lahore
good life,a month ago on,Faletti's Hotel have a huge size of Halls for Merriage events and other events.,Faletti hotel lahore
Dr Jawad Anwar,9 months ago on,"Ive attended it for many symposiums, and its stage setting and lightening isnt as best as that of PC. Food is good however always falls short, and buffet system during conventions etc is always a headache since the tables are small. Only provide few water bottles. Overall experience is average.",Faletti hotel lahore
Ajmal Mushtaq,4 months ago on,Beautiful place for dinner with family and rooms are clean and furnished the service is very well,Faletti hotel lahore
only cricket stars,4 months ago on,Nice place ...Good food and very good experience with the staff,Faletti hotel lahore
ayub ghulam,5 months ago on,Banquet are are very good... especially the food quality and taste is just wow,Faletti hotel lahore
Arsalan Ali,3 months ago on,Great experience with outstanding service and luxurious work overall the place.,Faletti hotel lahore
Fatima Arif,3 months ago on,Excellent food and car parking. In the heart of Lahore city.,Faletti hotel lahore
Rukhzana Sport,5 months ago on,Very good cleaning rooms and washrooms good staff behaviour and reasonable price,Faletti hotel lahore
Shoukat Ghauri,4 months ago on,"Faletties Express
According to my personal experience
Faletties Express is one of the most beautiful and Luxurious Places in Lahore",Faletti hotel lahore
Dr. Imran Habib,7 months ago on,"Hotel is the oldest in Lahore from British colonial era. Location wise it is located in the central business hub of the city. Food, service and facilities are all top notch. A must visit hotel if you are planning to stay in Lahore",Faletti hotel lahore
Aqdus Farooq,a week ago on,Nice ambience and food is good.,Faletti hotel lahore
AMIR SHABBIR,5 months ago on,"Experience was Quite good. Place is very good for official gatherings.
Highly recommend. 👍 …",Faletti hotel lahore
jalal hussain,3 months ago on,"I absolutely love this place! The staff here are super friendly and went out of their way to make sure I felt right at home. The room was even better than I imagined, so cozy and clean. It's clear the hotel takes great pride in keeping …",Indigo Hotel lahore
Usama Javed,2 months ago on,"I gotta say, I was really impressed with this place. The staff were super friendly and made me feel right at home. The room was way nicer than I expected – super comfy and clean. They've got some great amenities too, better than I thought …",Indigo Hotel lahore
Aajiz Yaqoob Ujjan,3 months ago on,"I eagerly welcome this place. The staff was really friendly and helpful, making sure I felt completely comfortable. The room was even better than I expected in terms of both comfort and cleanliness, showing the hotel's commitment to …",Indigo Hotel lahore
Speed Records,a month ago on,"Wow, I gotta say, this hotel was absolutely amazing! From the moment I arrived, I was greeted with such warmth and hospitality. The staff went above and beyond to ensure that my stay was comfortable and enjoyable. The rooms were clean and …",Indigo Hotel lahore
Moses Adrian,2 months ago on,"My family and I recently stayed at Indigo Heights Hotel & Suites for a weekend getaway, and it was nothing short of wonderful! From the moment we arrived, we were greeted with warm smiles and exceptional service. …",Indigo Hotel lahore
Ismail Khan,a month ago on,The hotel was wonderful. It was even better than expected. The price was amazing. There were great restaurants within walking distance. Would definitely stay there again. …,Indigo Hotel lahore
Qasim Abro,3 months ago on,"This hotel truly exceeded all my expectations. From the moment I walked in, I was greeted with warm smiles and exceptional hospitality. The rooms are beautifully designed, providing a perfect blend of comfort and elegance. The amenities are …",Indigo Hotel lahore
Sadiq Ali Mandair,3 months ago on,"I enthusiastically endorse this establishment. The staff was incredibly friendly and accommodating, ensuring I felt completely at ease. The room exceeded my expectations in terms of both comfort and cleanliness, showcasing the hotel's …",Indigo Hotel lahore
simple life,3 months ago on,"The epitome of luxury and opulence, this hotel surpassed all expectations. From the moment we stepped foot inside, we were treated like royalty by the attentive staff. Every detail, from the lavish decor to the exquisite dining options, …",Indigo Hotel lahore
Hassaan Zafar,3 months ago on,"Indigo Heights Hotel provided a delightful stay experience. From the moment I stepped in, the ambiance exuded warmth and sophistication. The staff were incredibly courteous and attentive, ensuring every need was promptly met. The room was …",Indigo Hotel lahore
Sadia Moin,3 months ago on,"We had a wonderful stay at the Indigo Heights Hotel. The room was beautiful and the location was just great. We walked to many things, but public transportation and tours were also close by. The breakfast each morning was really good as …",Indigo Hotel lahore
Infal Mehar,2 months ago on,"I recently stayed at and it was a delightful experience from start to finish. The location was fantastic, offering easy access. The staff were incredibly hospitable and went above and beyond to ensure a comfortable stay. The room was …",Indigo Hotel lahore
MUDDSIR SIRAJ,4 months ago on,"Impeccable Service: The staff at Indigo Heights Hotel & Suites provided a level of service that truly exceeded expectations, from the warm welcome at check-in to the attentive care throughout my stay. …",Indigo Hotel lahore
Imran Asad,a week ago on,This was my first experience with this hotel and found it superb staying solo or with family. I arrived early which I informed them before & they did their best to allot me room within 1 hour once a big group was checking out. Junaid & Nida …,Indigo Hotel lahore
Allauddin Hunzai,2 months ago on,"""I recently had the pleasure of staying at Indigo Heights Hotel and dining at their on-site restaurant. The hotel room was spacious, clean, and well-appointed with modern amenities. The staff were friendly and attentive, ensuring a …",Indigo Hotel lahore
Sajjad Ahmad,4 months ago on,"I highly recommend this place. Staff was super friendly and helpful, made me feel at home. Room was comfortable and clean, showing the hotel’s commitment to cleanliness. Appliances were beyond my expectations. On-site dining was delicious. …",Indigo Hotel lahore
Hanzala Ashraf,2 months ago on,"I absolutely love this place! The staff here are super friendly and went out of their way to make sure I felt right at home. The room was even better than I imagined, so cozy and clean. It's clear the hotel takes great pride in keeping things top-notch.",Indigo Hotel lahore
Muddsir Iqbal,a month ago on,"Indigo Heights Hotel & Suites surpassed expectations with its stunning architecture, impeccable service, and luxurious amenities. The spacious rooms, attentive staff, and diverse dining options make it a perfect choice for any traveler. Highly recommended for a memorable and indulgent experience. We enjoy a lot here❤️❤️❤️",Indigo Hotel lahore
Zaim Fiaz,3 months ago on,"It's a luxurious hotel located in Faisalabad, Pakistan. The rooms are spacious and beautifully decorated, giving off a cozy and elegant vibe. The staff is known for their exceptional hospitality, always going above and beyond to make guests …",Indigo Hotel lahore
Ali Saad,2 weeks ago on,"Stayed 10 days was very good experience for me to stay on the middle of Lahore with beautiful views specially level 18 could see all around the centre ,, cleaner was available when ever i asked for highly recommended",Indigo Hotel lahore
Raaheen Punjwani,3 months ago on,"My recent stay at Indigo Heights Hotel & Suites was truly delightful from beginning to end. The location was superb, providing effortless access. The staff demonstrated exceptional hospitality, going the extra mile to ensure a pleasant …",Indigo Hotel lahore
Annaya khan,3 months ago on,"Indigo Heights Hostel and Suites is a true gem! From the moment I stepped through the door, I was greeted with warmth and hospitality. The staff went above and beyond to make my stay comfortable and memorable. The rooms were clean, modern, …",Indigo Hotel lahore
Muhammad Kashif,3 months ago on,"Where do I even start with this hotel? It felt like entering a paradise of opulence and relaxation. The staff treated me with the utmost care and attention from the moment I stepped through the door, and the room itself was simply …",Indigo Hotel lahore
Zack Shah,2 months ago on,"I had a wonderful experience of indigo heights. Its like a hidden gem in the heart of up scale neighbourhood. The service, food and ambiance is par excellence. Especially the rooftop, which gives a beautiful view of the city. Arguably among the best places that i have been so far. Godspeed to the management and all concerned.",Indigo Hotel lahore
Usman Najam,2 weeks ago on,Room was very clean and comfortable. It is  a nice place to be in. I felt like home environment. Location was nice and it was like a dream come true.,Indigo Hotel lahore
AspireInspireGrow,2 months ago on,"Stepping into Indigo Heights Hotel and Suites felt like entering a realm of luxury and sophistication. From the elegant lobby to the meticulously designed rooms, every detail exuded opulence. The staff's warmth and attentiveness ensured a …",Indigo Hotel lahore
Naweed Khan,3 months ago on,"When I came, the atmosphere inside was fantastic. When I entered the room, it was smelling good. It seemed like the atmosphere of my own house. Then we enjoyed ourselves. The view is extremely beautiful, the food is not the answer, tell me …",Indigo Hotel lahore
bitterntraveller,2 months ago on,"Centrally located high rise hotel. Big clean rooms, attentive staff, good gym area, plentiful breakfast options, this hotel is reasonable. When asked if the hotel could have any improvement I suggested opening the pool a bit earlier - and the next day it opened at 7.  Amazing!",Indigo Hotel lahore
Rafaquat Hussain,4 months ago on,"I recently had the pleasure of staying at the Indigo Heights Hotel and Suites, Lahore and I must say, I was thoroughly impressed. The rooms were spacious, clean, and well-appointed with modern amenities. The comfortable beds and cozy …",Indigo Hotel lahore
